name,district,category,description,entry_fee,best_time,activities,latitude,longitude,rating
Jagtial Temple,Jagtial,Cultural,Popular temple located in Jagtial.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",18.12,79.12,4.3
Jagtial Lake,Jagtial,Commercial,Popular lake located in Jagtial.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.14,79.14,4.5
Jagtial Waterfalls,Jagtial,Eco-Cultural Rural,Popular waterfalls located in Jagtial.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.16,79.16,4.7
Jagtial Wildlife Sanctuary,Jagtial,Eco,Popular wildlife sanctuary located in Jagtial.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",18.18,79.18,4.1
Jagtial Dam,Jagtial,Cultural,Popular dam located in Jagtial.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.2,79.2,4.3
Jagtial Eco Park,Jagtial,Commercial,Popular eco park located in Jagtial.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.22,79.22,4.5
Jagtial Heritage Site,Jagtial,Eco-Cultural Rural,Popular heritage site located in Jagtial.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",18.24,79.24,4.7
Jagtial Museum,Jagtial,Eco,Popular museum located in Jagtial.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.26,79.26,4.1
Jagtial Hill View Point,Jagtial,Cultural,Popular hill view point located in Jagtial.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.28,79.28,4.3
Jagtial Tribal Village,Jagtial,Commercial,Popular tribal village located in Jagtial.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",18.3,79.3,4.5
Jagtial Handloom Cluster,Jagtial,Eco-Cultural Rural,Popular handloom cluster located in Jagtial.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.32,79.32,4.7
Jagtial Riverfront,Jagtial,Eco,Popular riverfront located in Jagtial.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.34,79.34,4.1
Jagtial Forest Trails,Jagtial,Cultural,Popular forest trails located in Jagtial.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",18.36,79.36,4.3
Jagtial Spiritual Center,Jagtial,Commercial,Popular spiritual center located in Jagtial.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.38,79.38,4.5
Jagtial Archaeological Site,Jagtial,Eco-Cultural Rural,Popular archaeological site located in Jagtial.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.4,79.4,4.7
Jagtial Buddhist Site,Jagtial,Eco,Popular buddhist site located in Jagtial.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",18.42,79.42,4.1
Jagtial Urban Park,Jagtial,Cultural,Popular urban park located in Jagtial.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.44,79.44,4.3
Jagtial Reservoir,Jagtial,Commercial,Popular reservoir located in Jagtial.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.46,79.46,4.5
Jagtial Cultural Center,Jagtial,Eco-Cultural Rural,Popular cultural center located in Jagtial.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",18.48,79.48,4.7
Jangaon Fort,Jangaon,Eco,Popular fort located in Jangaon.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.5,79.5,4.1
Jangaon Temple,Jangaon,Cultural,Popular temple located in Jangaon.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.52,79.52,4.3
Jangaon Lake,Jangaon,Commercial,Popular lake located in Jangaon.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",18.54,79.54,4.5
Jangaon Waterfalls,Jangaon,Eco-Cultural Rural,Popular waterfalls located in Jangaon.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.56,79.56,4.7
Jangaon Wildlife Sanctuary,Jangaon,Eco,Popular wildlife sanctuary located in Jangaon.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.58,79.58,4.1
Jangaon Dam,Jangaon,Cultural,Popular dam located in Jangaon.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",18.6,79.6,4.3
Jangaon Eco Park,Jangaon,Commercial,Popular eco park located in Jangaon.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.62,79.62,4.5
Jangaon Heritage Site,Jangaon,Eco-Cultural Rural,Popular heritage site located in Jangaon.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.64,79.64,4.7
Jangaon Museum,Jangaon,Eco,Popular museum located in Jangaon.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",18.66,79.66,4.1
Jangaon Hill View Point,Jangaon,Cultural,Popular hill view point located in Jangaon.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.68,79.68,4.3
Jangaon Tribal Village,Jangaon,Commercial,Popular tribal village located in Jangaon.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.7,79.7,4.5
Jangaon Handloom Cluster,Jangaon,Eco-Cultural Rural,Popular handloom cluster located in Jangaon.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",18.72,79.72,4.7
Jangaon Riverfront,Jangaon,Eco,Popular riverfront located in Jangaon.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.74,79.74,4.1
Jangaon Forest Trails,Jangaon,Cultural,Popular forest trails located in Jangaon.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.76,79.76,4.3
Jangaon Spiritual Center,Jangaon,Commercial,Popular spiritual center located in Jangaon.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",18.78,79.78,4.5
Jangaon Archaeological Site,Jangaon,Eco-Cultural Rural,Popular archaeological site located in Jangaon.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.8,79.8,4.7
Jangaon Buddhist Site,Jangaon,Eco,Popular buddhist site located in Jangaon.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.82,79.82,4.1
Jangaon Urban Park,Jangaon,Cultural,Popular urban park located in Jangaon.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",18.84,79.84,4.3
Jangaon Reservoir,Jangaon,Commercial,Popular reservoir located in Jangaon.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.86,79.86,4.5
Jangaon Cultural Center,Jangaon,Eco-Cultural Rural,Popular cultural center located in Jangaon.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.88,79.88,4.7
Jayashankar Bhupalpally Fort,Jayashankar Bhupalpally,Eco,Popular fort located in Jayashankar Bhupalpally.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",18.9,79.9,4.1
Jayashankar Bhupalpally Temple,Jayashankar Bhupalpally,Cultural,Popular temple located in Jayashankar Bhupalpally.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.92,79.92,4.3
Jayashankar Bhupalpally Lake,Jayashankar Bhupalpally,Commercial,Popular lake located in Jayashankar Bhupalpally.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.94,79.94,4.5
Jayashankar Bhupalpally Waterfalls,Jayashankar Bhupalpally,Eco-Cultural Rural,Popular waterfalls located in Jayashankar Bhupalpally.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",18.96,79.96,4.7
Jayashankar Bhupalpally Wildlife Sanctuary,Jayashankar Bhupalpally,Eco,Popular wildlife sanctuary located in Jayashankar Bhupalpally.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",18.98,79.98,4.1
Jayashankar Bhupalpally Dam,Jayashankar Bhupalpally,Cultural,Popular dam located in Jayashankar Bhupalpally.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19,80,4.3
Jayashankar Bhupalpally Eco Park,Jayashankar Bhupalpally,Commercial,Popular eco park located in Jayashankar Bhupalpally.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",19.02,80.02,4.5
Jayashankar Bhupalpally Heritage Site,Jayashankar Bhupalpally,Eco-Cultural Rural,Popular heritage site located in Jayashankar Bhupalpally.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.04,80.04,4.7
Jayashankar Bhupalpally Museum,Jayashankar Bhupalpally,Eco,Popular museum located in Jayashankar Bhupalpally.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.06,80.06,4.1
Jayashankar Bhupalpally Hill View Point,Jayashankar Bhupalpally,Cultural,Popular hill view point located in Jayashankar Bhupalpally.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",19.08,80.08,4.3
Jayashankar Bhupalpally Tribal Village,Jayashankar Bhupalpally,Commercial,Popular tribal village located in Jayashankar Bhupalpally.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.1,80.1,4.5
Jayashankar Bhupalpally Handloom Cluster,Jayashankar Bhupalpally,Eco-Cultural Rural,Popular handloom cluster located in Jayashankar Bhupalpally.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.12,80.12,4.7
Jayashankar Bhupalpally Riverfront,Jayashankar Bhupalpally,Eco,Popular riverfront located in Jayashankar Bhupalpally.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",19.14,80.14,4.1
Jayashankar Bhupalpally Forest Trails,Jayashankar Bhupalpally,Cultural,Popular forest trails located in Jayashankar Bhupalpally.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.16,80.16,4.3
Jayashankar Bhupalpally Spiritual Center,Jayashankar Bhupalpally,Commercial,Popular spiritual center located in Jayashankar Bhupalpally.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.18,80.18,4.5
Jayashankar Bhupalpally Archaeological Site,Jayashankar Bhupalpally,Eco-Cultural Rural,Popular archaeological site located in Jayashankar Bhupalpally.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",19.2,80.2,4.7
Jayashankar Bhupalpally Buddhist Site,Jayashankar Bhupalpally,Eco,Popular buddhist site located in Jayashankar Bhupalpally.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.22,80.22,4.1
Jayashankar Bhupalpally Urban Park,Jayashankar Bhupalpally,Cultural,Popular urban park located in Jayashankar Bhupalpally.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.24,80.24,4.3
Jayashankar Bhupalpally Reservoir,Jayashankar Bhupalpally,Commercial,Popular reservoir located in Jayashankar Bhupalpally.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",19.26,80.26,4.5
Jayashankar Bhupalpally Cultural Center,Jayashankar Bhupalpally,Eco-Cultural Rural,Popular cultural center located in Jayashankar Bhupalpally.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.28,80.28,4.7
Jogulamba Gadwal Fort,Jogulamba Gadwal,Eco,Popular fort located in Jogulamba Gadwal.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.3,80.3,4.1
Jogulamba Gadwal Temple,Jogulamba Gadwal,Cultural,Popular temple located in Jogulamba Gadwal.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",19.32,80.32,4.3
Jogulamba Gadwal Lake,Jogulamba Gadwal,Commercial,Popular lake located in Jogulamba Gadwal.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.34,80.34,4.5
Jogulamba Gadwal Waterfalls,Jogulamba Gadwal,Eco-Cultural Rural,Popular waterfalls located in Jogulamba Gadwal.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.36,80.36,4.7
Jogulamba Gadwal Wildlife Sanctuary,Jogulamba Gadwal,Eco,Popular wildlife sanctuary located in Jogulamba Gadwal.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",19.38,80.38,4.1
Jogulamba Gadwal Dam,Jogulamba Gadwal,Cultural,Popular dam located in Jogulamba Gadwal.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.4,80.4,4.3
Jogulamba Gadwal Eco Park,Jogulamba Gadwal,Commercial,Popular eco park located in Jogulamba Gadwal.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.42,80.42,4.5
Jogulamba Gadwal Heritage Site,Jogulamba Gadwal,Eco-Cultural Rural,Popular heritage site located in Jogulamba Gadwal.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",19.44,80.44,4.7
Jogulamba Gadwal Museum,Jogulamba Gadwal,Eco,Popular museum located in Jogulamba Gadwal.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.46,80.46,4.1
Jogulamba Gadwal Hill View Point,Jogulamba Gadwal,Cultural,Popular hill view point located in Jogulamba Gadwal.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.48,80.48,4.3
Jogulamba Gadwal Tribal Village,Jogulamba Gadwal,Commercial,Popular tribal village located in Jogulamba Gadwal.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",19.5,80.5,4.5
Jogulamba Gadwal Handloom Cluster,Jogulamba Gadwal,Eco-Cultural Rural,Popular handloom cluster located in Jogulamba Gadwal.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.52,80.52,4.7
Jogulamba Gadwal Riverfront,Jogulamba Gadwal,Eco,Popular riverfront located in Jogulamba Gadwal.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.54,80.54,4.1
Jogulamba Gadwal Forest Trails,Jogulamba Gadwal,Cultural,Popular forest trails located in Jogulamba Gadwal.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",19.56,80.56,4.3
Jogulamba Gadwal Spiritual Center,Jogulamba Gadwal,Commercial,Popular spiritual center located in Jogulamba Gadwal.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.58,80.58,4.5
Jogulamba Gadwal Archaeological Site,Jogulamba Gadwal,Eco-Cultural Rural,Popular archaeological site located in Jogulamba Gadwal.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.6,80.6,4.7
Jogulamba Gadwal Buddhist Site,Jogulamba Gadwal,Eco,Popular buddhist site located in Jogulamba Gadwal.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",19.62,80.62,4.1
Jogulamba Gadwal Urban Park,Jogulamba Gadwal,Cultural,Popular urban park located in Jogulamba Gadwal.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.64,80.64,4.3
Jogulamba Gadwal Reservoir,Jogulamba Gadwal,Commercial,Popular reservoir located in Jogulamba Gadwal.,50,Oct-Mar,"Sightseeing, Photography, Local Experience",19.66,80.66,4.5
Jogulamba Gadwal Cultural Center,Jogulamba Gadwal,Eco-Cultural Rural,Popular cultural center located in Jogulamba Gadwal.,Free,Oct-Mar,"Sightseeing, Photography, Local Experience",19.68,80.68,4.7
